year,origin,dest,sitc4,export_val,import_val
1984,hkg,can,3222,0.00,5307150.00
1984,hkg,aus,3222,0.00,75124552.00
1984,idn,jpn,3222,13365363.00,0.00
1984,idn,kor,3222,2745102.00,0.00
1984,idn,mys,3222,15248456.00,221544.00
1984,idn,sgp,3222,0.00,30101.00
1984,idn,tha,3222,548140.00,40731.00
1984,ind,bgd,3222,2488720.00,0.00
1984,ind,mys,3222,0.00,177456.00
1984,ind,npl,3222,1428555.00,0.00
1984,ind,deu,3222,890.00,0.00
1984,irn,mys,3222,0.00,76017.00
1984,irn,deu,3222,0.00,2583000.00
1984,irq,bel,3222,0.00,1609.00
1984,isr,bel,3222,0.00,8045.00
1984,isr,fra,3222,0.00,1605.00
1984,isr,gbr,3222,0.00,2038027.00
1984,isr,ita,3222,0.00,29793.00
1984,isr,usa,3222,0.00,12739962.00
1984,jor,deu,3222,0.00,7000.00
1984,jpn,zaf,3222,0.00,308038338.00
1984,jpn,chn,3222,0.00,173509748.00
1984,jpn,idn,3222,0.00,13365363.00
1984,jpn,kor,3222,567295.00,0.00
1984,jpn,lka,3222,5082.00,0.00
1984,jpn,mys,3222,4277.00,1770226.00
1984,jpn,phl,3222,736832.00,0.00
1984,jpn,qat,3222,6773.00,0.00
1984,jpn,sgp,3222,3804.00,2236.00
1984,jpn,tha,3222,23900.00,0.00
1984,jpn,deu,3222,0.00,62802.00
1984,jpn,sun,3222,0.00,105802403.00
1984,jpn,swe,3222,0.00,2566.00
1984,jpn,can,3222,0.00,1004725736.00
1984,jpn,usa,3222,0.00,1014007403.00
1984,jpn,aus,3222,0.00,2109088784.00
1984,jpn,nzl,3222,0.00,16223195.00
1984,jpn,bra,3222,1437.00,0.00
1984,kor,caf,3222,0.00,1670312.00
1984,kor,idn,3222,0.00,2745102.00
1984,kor,jpn,3222,0.00,567295.00
1984,kor,mys,3222,0.00,677992.00
1984,kor,tha,3222,0.00,35087.00
1984,kor,aut,3222,0.00,1097590.00
1984,kor,deu,3222,0.00,598717.00
1984,kor,can,3222,0.00,153617858.00
1984,kor,usa,3222,0.00,101103205.00
1984,kor,aus,3222,0.00,278807939.00
1984,kor,nzl,3222,0.00,1002125.00
1984,lbn,mys,3222,0.00,69139.00
1984,lbn,grc,3222,0.00,431713.00
1984,lbn,ita,3222,0.00,1165.00
1984,lka,jpn,3222,0.00,5082.00
1984,lka,qat,3222,3993.00,0.00
1984,lka,tha,3222,0.00,120417.00
1984,mac,hkg,3222,0.00,2859.00
1984,mdv,mys,3222,0.00,76962.00
1984,mmr,mys,3222,0.00,29598.00
1984,mys,lbr,3222,1152843.00,0.00
1984,mys,mus,3222,35474.00,0.00
1984,mys,bgd,3222,52480.00,0.00
1984,mys,brn,3222,762.00,0.00
1984,mys,chn,3222,134045.00,0.00
1984,mys,cyp,3222,70972.00,0.00
1984,mys,hkg,3222,102305.00,0.00
1984,mys,idn,3222,221544.00,15248456.00
1984,mys,ind,3222,177456.00,0.00
1984,mys,irn,3222,76017.00,0.00
1984,mys,jpn,3222,1770226.00,4277.00
1984,mys,kor,3222,677992.00,0.00
1984,mys,lbn,3222,69139.00,0.00
1984,mys,mdv,3222,76962.00,0.00
1984,mys,mmr,3222,29598.00,0.00
1984,mys,phl,3222,11693.00,0.00
1984,mys,sgp,3222,1055992.00,554.00
1984,mys,tha,3222,599274.00,10012.00
1984,mys,bel,3222,1699800.00,0.00
1984,mys,ddr,3222,172401.00,0.00
1984,mys,deu,3222,336277.00,0.00
1984,mys,dnk,3222,3665.00,0.00
1984,mys,esp,3222,55575.00,0.00
1984,mys,fra,3222,134290.00,0.00
1984,mys,gbr,3222,365008.00,0.00
1984,mys,grc,3222,785834.00,0.00
1984,mys,mlt,3222,16259.00,0.00
1984,mys,nld,3222,995105.00,0.00
1984,mys,nor,3222,7843.00,0.00
1984,mys,sun,3222,193272.00,0.00
1984,mys,yug,3222,89833.00,0.00
1984,mys,pan,3222,1808380.00,0.00
1984,mys,spm,3222,5416.00,0.00
1984,mys,aus,3222,195502.00,2731283.00
1984,mys,fji,3222,100826.00,0.00
1984,mys,ncl,3222,84375.00,0.00
1984,npl,ind,3222,0.00,1428555.00
1984,npl,deu,3222,0.00,1000.00
1984,pak,fra,3222,1225.00,0.00
1984,pak,can,3222,0.00,11816729.00
1984,pak,usa,3222,0.00,6220043.00
1984,pak,aus,3222,0.00,17327013.00
1984,phl,chn,3222,0.00,1498366.00
1984,phl,jpn,3222,0.00,736832.00
1984,phl,mys,3222,0.00,11693.00
1984,phl,deu,3222,0.00,5007.00
